"","pval1","pval2","pval3","pval4"
"263",6.86926049995078e-88,5.44393412348234e-107,5.45765252331532e-99,2.74302426921644e-100
"264",6.62429938168446e-88,3.9657995247688e-107,4.17316907526136e-99,1.20618011929159e-100
"265",1.06072165230923e-87,3.20763888053021e-107,6.6981687945942e-99,4.79341143657026e-100
"266",1.41109045282896e-87,2.88261107682891e-107,3.22318053043115e-98,2.1543441589043e-100
"267",2.01321455354206e-87,3.03744038217993e-107,1.78532202082577e-98,1.70400774532318e-100
"268",1.93232853112884e-87,1.30488137655991e-107,1.05699479938224e-98,5.6320750059614e-101
"269",2.55142900666324e-87,1.96137655458433e-107,6.89874759650263e-99,5.051012983587e-101
"270",2.48484364398364e-87,1.31308082029759e-107,1.21301212428494e-98,2.04242095107919e-100
"271",1.85334157112282e-87,6.21673066986506e-108,9.14324593006428e-99,8.22877523013241e-101
"272",4.86247035188558e-87,8.37925055012059e-108,6.83884688851057e-99,5.94580174307947e-101
"273",5.76403026662015e-87,9.2759341121443e-108,5.89641297706219e-99,5.17080331644137e-101
"274",8.54446965598127e-87,1.16797557901866e-107,7.20752581037389e-99,1.48104546998703e-100
"275",3.62640394017937e-87,5.87835252456587e-108,5.9890282210738e-99,1.06909432766074e-100
"276",2.77966303681136e-87,1.47944195908179e-106,1.23193683770258e-99,7.74774759621044e-101
"277",2.42690193102202e-87,1.66386798873696e-106,5.67597001756973e-100,8.08909164882685e-100
"278",2.24326027461118e-87,3.15049289540333e-105,4.43776905303759e-100,7.45280238035853e-100
"279",2.15835197240774e-87,2.89343480860379e-105,3.97613234881026e-100,7.34871703388949e-100
"280",1.41604453343377e-87,1.53559757490122e-105,2.79978910118639e-100,4.51511112437417e-100
"281",1.40609992671411e-87,3.82682443397852e-105,2.99442701108064e-100,9.03521291443214e-100
"282",9.64775125982205e-88,1.88686204657507e-105,1.92369623416015e-100,6.45159385971428e-100
"283",7.42829051270198e-88,5.22669384619582e-105,4.52100714824195e-100,1.31981466107862e-99
"284",3.74758739094891e-88,2.36412550789124e-104,1.63247660402984e-100,8.19837666407181e-100
"285",3.48308302702841e-88,1.88867070135627e-104,2.16185333138714e-100,9.81178118075916e-100
"286",3.50864621552523e-88,1.13167038804127e-104,3.11154954568719e-100,5.93475639274587e-100
"287",3.17431702372444e-88,1.36380720271845e-104,5.07089208385897e-100,9.58050194919105e-100
"288",1.39833982965935e-87,6.45899521708967e-105,9.87340265128469e-100,3.50945801702525e-100
"289",6.25280180536323e-88,3.63063107236426e-105,4.23056007370307e-100,3.99511781381318e-100
"290",6.00525527393719e-88,1.6067703719338e-104,3.21672655500249e-100,3.34267981919938e-100
"291",3.57023753580047e-88,1.58537827955204e-104,4.42800082930164e-100,6.56563474915708e-100
"292",4.46786175725922e-88,2.23347056734135e-104,4.76508401240165e-100,5.01840908460851e-100
"293",3.27117134716228e-88,3.16225152392602e-104,3.14534896385624e-100,6.14749879427382e-100
"294",2.1122412448318e-87,6.099008226557e-104,9.67987067008556e-102,5.66235603215074e-100
"295",2.60125240396208e-87,6.07755130640511e-104,3.69367276567254e-101,1.96095606440469e-99
